Date,Close
2016-06-01,"2099,330078"
2016-05-31,"2096,949951"
2016-05-27,"2099,060059"
2016-05-26,"2090,100098"
2016-05-25,"2090,540039"
2016-05-24,"2076,060059"
2016-05-23,"2048,040039"
2016-05-20,"2052,320068"
2016-05-19,"2040,040039"
2016-05-18,"2047,630005"
2016-05-17,"2047,209961"
2016-05-16,"2066,659912"
2016-05-13,"2046,609985"
2016-05-12,"2064,110107"
2016-05-11,"2064,459961"
2016-05-10,"2084,389893"
2016-05-09,"2058,689941"
2016-05-06,"2057,139893"
2016-05-05,"2050,629883"
2016-05-04,"2051,120117"
2016-05-03,"2063,370117"
2016-05-02,"2081,429932"
2016-04-29,"2065,300049"
2016-04-28,"2075,810059"
2016-04-27,"2095,149902"
2016-04-26,"2091,699951"
2016-04-25,"2087,790039"
2016-04-22,"2091,580078"
2016-04-21,"2091,47998"
2016-04-20,"2102,399902"
2016-04-19,"2100,800049"
2016-04-18,"2094,340088"
2016-04-15,"2080,72998"
2016-04-14,"2082,780029"
2016-04-13,"2082,419922"
2016-04-12,"2061,719971"
2016-04-11,"2041,98999"
2016-04-08,"2047,599976"
2016-04-07,"2041,910034"
2016-04-06,"2066,659912"
2016-04-05,"2045,170044"
2016-04-04,"2066,129883"
2016-04-01,"2072,780029"
2016-03-31,"2059,73999"
2016-03-30,"2063,949951"
2016-03-29,"2055,01001"
2016-03-28,"2037,050049"
2016-03-24,"2035,939941"
2016-03-23,"2036,709961"
2016-03-22,"2049,800049"
2016-03-21,"2051,600098"
2016-03-18,"2049,580078"
2016-03-17,"2040,589966"
2016-03-16,"2027,219971"
2016-03-15,"2015,930054"
2016-03-14,"2019,640015"
2016-03-11,"2022,189941"
2016-03-10,"1989,569946"
2016-03-09,"1989,26001"
2016-03-08,"1979,26001"
2016-03-07,"2001,76001"
2016-03-04,"1999,98999"
2016-03-03,"1993,400024"
2016-03-02,"1986,449951"
2016-03-01,"1978,349976"
2016-02-29,"1932,22998"
2016-02-26,"1948,050049"
2016-02-25,"1951,699951"
2016-02-24,"1929,800049"
2016-02-23,"1921,27002"
2016-02-22,"1945,5"
2016-02-19,"1917,780029"
2016-02-18,"1917,829956"
2016-02-17,"1926,819946"
2016-02-16,"1895,579956"
2016-02-12,"1864,780029"
2016-02-11,"1829,079956"
2016-02-10,"1851,859985"
2016-02-09,"1852,209961"
2016-02-08,"1853,439941"
2016-02-05,"1880,050049"
2016-02-04,"1915,449951"
2016-02-03,"1912,530029"
2016-02-02,"1903,030029"
2016-02-01,"1939,380005"
2016-01-29,"1940,23999"
2016-01-28,"1893,359985"
2016-01-27,"1882,949951"
2016-01-26,"1903,630005"
2016-01-25,"1877,079956"
2016-01-22,"1906,900024"
2016-01-21,"1868,98999"
2016-01-20,"1859,329956"
2016-01-19,"1881,329956"
2016-01-15,"1880,329956"
2016-01-14,"1921,839966"
2016-01-13,"1890,280029"
2016-01-12,"1938,680054"
2016-01-11,"1923,670044"
2016-01-08,"1922,030029"
2016-01-07,"1943,089966"
2016-01-06,"1990,26001"
2016-01-05,"2016,709961"
2016-01-04,"2012,660034"
2015-12-31,"2043,939941"
2015-12-30,"2063,360107"
2015-12-29,"2078,360107"
2015-12-28,"2056,5"
2015-12-24,"2060,98999"
2015-12-23,"2064,290039"
2015-12-22,"2038,969971"
2015-12-21,"2021,150024"
2015-12-18,"2005,550049"
2015-12-17,"2041,890015"
2015-12-16,"2073,070068"
2015-12-15,"2043,410034"
2015-12-14,"2021,939941"
2015-12-11,"2012,369995"
2015-12-10,"2052,22998"
2015-12-09,"2047,619995"
2015-12-08,"2063,590088"
2015-12-07,"2077,070068"
2015-12-04,"2091,689941"
2015-12-03,"2049,620117"
2015-12-02,"2079,51001"
2015-12-01,"2102,629883"
2015-11-30,"2080,409912"
2015-11-27,"2090,110107"
2015-11-25,"2088,870117"
2015-11-24,"2089,139893"
2015-11-23,"2086,590088"
2015-11-20,"2089,169922"
2015-11-19,"2081,23999"
2015-11-18,"2083,580078"
2015-11-17,"2050,439941"
2015-11-16,"2053,189941"
2015-11-13,"2023,040039"
2015-11-12,"2045,969971"
2015-11-11,2075
2015-11-10,"2081,719971"
2015-11-09,"2078,580078"
2015-11-06,"2099,199951"
2015-11-05,"2099,929932"
2015-11-04,"2102,310059"
2015-11-03,"2109,790039"
2015-11-02,"2104,050049"
2015-10-30,"2079,360107"
2015-10-29,"2089,409912"
2015-10-28,"2090,350098"
2015-10-27,"2065,889893"
2015-10-26,"2071,179932"
2015-10-23,"2075,149902"
2015-10-22,"2052,51001"
2015-10-21,"2018,939941"
2015-10-20,"2030,77002"
2015-10-19,"2033,660034"
2015-10-16,"2033,109985"
2015-10-15,"2023,859985"
2015-10-14,"1994,23999"
2015-10-13,"2003,689941"
2015-10-12,"2017,459961"
2015-10-09,"2014,890015"
2015-10-08,"2013,430054"
2015-10-07,"1995,829956"
2015-10-06,"1979,920044"
2015-10-05,"1987,050049"
2015-10-02,"1951,359985"
2015-10-01,"1923,819946"
2015-09-30,"1920,030029"
2015-09-29,"1884,089966"
2015-09-28,"1881,77002"
2015-09-25,"1931,339966"
2015-09-24,"1932,23999"
2015-09-23,"1938,76001"
2015-09-22,"1942,73999"
2015-09-21,"1966,969971"
2015-09-18,"1958,030029"
2015-09-17,"1990,199951"
2015-09-16,"1995,310059"
2015-09-15,"1978,089966"
2015-09-14,"1953,030029"
2015-09-11,"1961,050049"
2015-09-10,"1952,290039"
2015-09-09,"1942,040039"
2015-09-08,"1969,410034"
2015-09-04,"1921,219971"
2015-09-03,"1951,130005"
2015-09-02,"1948,859985"
2015-09-01,"1913,849976"
2015-08-31,"1972,180054"
2015-08-28,"1988,869995"
2015-08-27,"1987,660034"
2015-08-26,"1940,51001"
2015-08-25,"1867,609985"
2015-08-24,"1893,209961"
2015-08-21,"1970,890015"
2015-08-20,"2035,72998"
2015-08-19,"2079,610107"
2015-08-18,"2096,919922"
2015-08-17,"2102,439941"
2015-08-14,"2091,540039"
